speed,acceleration,impact_force,road_condition,is_accident,severity
67.45,4.53,5.99,wet,0,none
57.93,1.36,1.56,dry,0,none
83.69,0.61,9.7,dry,1,high
71.51,5.08,2.12,dry,0,none
53.05,2.17,5.25,icy,1,low
53.01,2.88,2.91,wet,0,none
44.81,2.11,3.66,gravel,0,none
64.71,3.01,7.85,dry,1,medium
61.01,3.76,0.46,dry,0,none
38.63,3.84,1.71,dry,0,none
50.99,4.26,4.4,dry,0,none
55.62,1.17,4.95,wet,0,none
72.34,2.21,5.2,dry,0,none
41.69,3.51,1.85,dry,0,none
71.08,0.99,1.96,wet,0,none
62.57,0.75,3.25,wet,0,none
37.82,5.06,3.57,dry,0,none
49.2,2.05,5.43,wet,0,none
64.86,0.91,9.87,gravel,1,high
54.22,4.75,1.99,dry,0,none
75.46,4.74,0.74,gravel,0,none
73.97,2.47,1.16,wet,0,none
64.97,2.32,0.64,dry,0,none
74.63,2.21,3.25,dry,0,none
72.19,5.38,4.72,muddy,0,none
80.34,1.16,7.13,dry,1,medium
65.42,4.74,4.94,dry,0,none
83.07,3.38,4.28,dry,0,none
61.31,2.23,5.09,gravel,1,low
55.51,5.49,2.49,wet,0,none
82.17,1.76,0.77,gravel,0,none
52.23,2.09,1.61,icy,0,none
73.73,4.92,1.87,wet,0,none
64.93,5.41,5.39,muddy,0,none
49.47,1.75,4.27,dry,0,none
55.09,5.0,8.61,wet,1,medium
60.08,2.8,2.22,gravel,0,none
56.48,1.16,3.38,wet,0,none
57.58,3.35,7.03,gravel,1,medium
66.06,2.5,9.72,wet,1,high
31.22,2.07,0.37,icy,0,none
59.6,3.85,5.03,dry,0,none
57.11,1.3,4.89,dry,0,none
64.52,5.92,2.42,dry,0,none
77.14,1.81,7.28,dry,1,medium
71.28,2.52,6.32,dry,0,none
68.8,1.0,8.35,dry,1,medium
92.86,2.26,1.87,dry,0,none
61.49,4.23,0.17,wet,0,none
52.45,3.32,2.26,dry,0,none
44.07,4.3,3.87,dry,0,none
67.1,5.65,1.38,dry,0,none
48.25,5.59,8.77,dry,1,medium
55.17,1.92,6.6,muddy,0,none
63.41,3.41,2.42,wet,0,none
79.61,1.01,8.97,wet,1,medium
63.9,2.36,3.49,dry,0,none
71.73,4.49,8.97,icy,1,medium
63.76,4.03,0.84,dry,0,none
65.2,1.39,8.99,dry,1,medium
64.4,0.53,1.61,muddy,0,none
49.28,3.52,6.92,wet,0,none
42.13,4.42,2.37,wet,0,none
69.85,2.29,7.46,wet,1,medium
74.45,4.12,5.68,gravel,1,low
66.19,1.02,3.68,icy,0,none
46.66,5.85,3.93,dry,0,none
47.76,5.41,6.31,dry,0,none
60.2,3.67,4.93,dry,0,none
81.8,1.57,7.22,dry,1,medium
43.94,5.67,9.54,dry,1,high
67.24,5.53,3.7,muddy,0,none
